a,name,gender
HERMAN,herman,male
HERMANN,hermann,male
HERMELANDO,hermelando,male
HERMELINDO,hermelindo,male
HERMENEGILDO,hermenegildo,male
HERMES,hermes,male
HERMILO,hermilo,male
HERMINIO,herminio,male
HERMIPO,hermipo,male
HERMOCRATES,hermocrates,male
HERMOGENES,hermogenes,male
HERMOGIO,hermogio,male
HERNAN,hernan,male
HERNANDO,hernando,male
HERNANI,hernani,male
HERODES,herodes,male
HERODOTO,herodoto,male
HERON,heron,male
HEROS,heros,male
HERSCHEL,herschel,male
HERVE,herve,male
HERACLIDES,heráclides,male
HESIQUIO,hesiquio,male
HEVIN,hevin,male
HEYMY,heymy,male
HEZEKIAH,hezekiah,male
HIAGO,hiago,male
HIBAH,hibah,male
HIDULFO,hidulfo,male
HIGINIO,higinio,male
HILARIO,hilario,male
HILARION,hilarion,male
HILDEBRANDO,hildebrando,male
HILDEMARO,hildemaro,male
HILDER,hilder,male
HILLIARD,hilliard,male
HILLIEL,hilliel,male
HILTON,hilton,male
HIMERO,himero,male
HIPACIO,hipacio,male
HIPARCO,hiparco,male
HIPOCRATES,hipocrates,male
HIPOLITO,hipolito,male
HIPOLITO,hipólito,male
HIRAM,hiram,male
HIRAN,hiran,male
HIROSHI,hiroshi,male
HISASHI,hisashi,male
HO,ho,male
HODGSON,hodgson,male
HOLDEN,holden,male
HOLLIS,hollis,male
HOLMES,holmes,male
HOLT,holt,male
HOMER,homer,male
HOMERO,homero,male
HOMOBONO,homobono,male
HONESTO,honesto,male
HONORATO,honorato,male
HONORIO,honorio,male
HORACE,horace,male
HORACIO,horacio,male
HORALDO,horaldo,male
HORATIO,horatio,male
HORMISDAS,hormisdas,male
HORTENCIO,hortencio,male
HORTENSIO,hortensio,male
HORTULANO,hortulano,male
HORUS,horus,male
HOSEA,hosea,male
HOSPICIO,hospicio,male
HOUSTON,houston,male
HOWARD,howard,male
HOWE,howe,male
HUAMAN,huaman,male
HUAN,huan,male
HUBERT,hubert,male
HUBERTO,huberto,male
HUEY,huey,male
HUGH,hugh,male
HUGO,hugo,male
HUINCA,huinca,male
HULLEN,hullen,male
HULMO,hulmo,male
HUMBALDO,humbaldo,male
HUMBERTO,humberto,male
HUMPHREY,humphrey,male
HUNTER,hunter,male
HUNTLEY,huntley,male
HURLEY,hurley,male
HYMAN,hyman,male
HECTOR,héctor,male
HERCULES,hércules,male
IAACOB,iaacob,male
IAGO,iago,male
IAIN,iain,male
IAIR,iair,male
IAN,ian,male
IANIR,ianir,male
IANKO,ianko,male
IASER,iaser,male
IBAR,ibar,male
IBERICO,iberico,male
IBERO,ibero,male
IBRAHIM,ibrahim,male
IBRAHIN,ibrahin,male
ICARO,icaro,male
ICHIRŌ,ichirō,male
IDO,ido,male
IDOMENEO,idomeneo,male
IDRIS LLWYD,idris llwyd,male
IDWAL,idwal,male
IEDIDIA,iedidia,male
IEHIEL,iehiel,male
IGAL,igal,male
IGASHU,igashu,male
IGGI,iggi,male
IGGY,iggy,male
IGNACIO,ignacio,male
IGNASI,ignasi,male
IGNATIUS,ignatius,male
IGNIGO,ignigo,male
IGOR,igor,male
IHSAN,ihsan,male
IKE,ike,male
IKER,iker,male
IKKI,ikki,male
IKSUAKU,iksuakú,male
ILAN,ilan,male
ILDAMARO,ildamaro,male
ILDAR,ildar,male
ILDEFONSO,ildefonso,male
ILDEMAR,ildemar,male
ILHAM,ilham,male
ILIAS,ilias,male
ILIDIO,ilidio,male
ILKO,ilko,male
ILLAMPU,illampu,male
ILUMINADO,iluminado,male
ILYA,ilya,male
IMANOL,imanol,male
INCA,inca,male
INDALECIO,indalecio,male
INDIO,indio,male
INGEMAR,ingemar,male
INGENO,ingeno,male
INGRAM,ingram,male
INNIS,innis,male
INOCENCIO,inocencio,male
IOAV,ioav,male
IOEL,ioel,male
ION,ion,male
IONATAN,ionatan,male
IOSEF,iosef,male
IOSHUA,ioshua,male
IRAHAN,irahan,male
IRENEO,ireneo,male
IRVIN,irvin,male
IRVING,irving,male
IRAN,irán,male
ISAAC,isaac,male
ISABELINO,isabelino,male
ISACAR,isacar,male
ISACHAR,isachar,male
ISACIO,isacio,male
ISAI,isai,male
ISAIAH,isaiah,male
ISAIAS,isaias,male
ISAIASS,isaiass,male
ISAUL,isaul,male
ISAURO,isauro,male
ISAIAS,isaías,male
ISEO,iseo,male
ISHAQ,ishaq,male
ISIDORO,isidoro,male
ISIDRO,isidro,male
ISLWYN,islwyn,male
ISMAEL,ismael,male
ISMAIL,ismail,male
ISOCRATES,isocrates,male
ISRAEL,israel,male
ISSAC,issac,male
ISSAY,issay,male
ISTU,istu,male
ITALO,italo,male
ITAMAR,itamar,male
ITHEL,ithel,male
ITIEL,itiel,male
ITTAMAR,ittamar,male
ITTAY,ittay,male
ITZAK,itzak,male
IUDISTIRA,iudistira,male
IURI,iuri,male
IUS,ius,male
IVAN,ivan,male
IVANO,ivano,male
IVAR,ivar,male
IVO,ivo,male
IVOR,ivor,male
IVAN,iván,male
IWAN,iwan,male
IYE,iye,male
IZAM,izam,male
IZAN,izan,male
INAKI,iñaki,male
INIGO,iñigo,male
JAASIEL,jaasiel,male
JABARI,jabari,male
JABILO,jabilo,male
JABIR,jabir,male
JACINTO,jacinto,male
JACK,jack,male
JACKSON,jackson,male
JACOB,jacob,male
JACOBE,jacobe,male
JACOBO,jacobo,male
JACQUES,jacques,male
JADON,jadon,male
JADSON,jadson,male
JAEGAR,jaegar,male
JAFAR,jafar,male
JAGANATHA,jaganatha,male
JAGGER,jagger,male
JAHAZIEL,jahaziel,male
JAI,jai,male
JAIME,jaime,male
JAIN,jain,male
JAIR,jair,male
JAIRO,jairo,male
JAKE,jake,male
JAL,jal,male
JALAIUDA,jalaiuda,male
JALED,jaled,male
JALIL,jalil,male
JAMAL,jamal,male
JAMES,james,male
JAMIE,jamie,male
JAMISON,jamison,male
JAN,jan,male
JANO,jano,male
JANTIPO,jantipo,male
JANTO,janto,male
JAQUIN,jaquin,male
JARAH,jarah,male
JARDENIO,jardenio,male
JARED,jared,male
JAREK,jarek,male
JARISCHANDRA,jarischandra,male
JARL,jarl,male
JARON,jaron,male
JAROSLAV,jaroslav,male
JARRETT,jarrett,male
JARSHA VARDHANA,jarsha vardhana,male
JARVIS,jarvis,male
JASIEL,jasiel,male
JASON,jason,male
JASPER,jasper,male
JATNIEL,jatniel,male
JAVIER,javier,male
JAYAG,jayag,male
JEAN,jean,male
JEAN LUC,jean luc,male
JEAN-FRANCOIS,jean-françois,male
JED,jed,male
JEDIDIAH,jedidiah,male
JEDREK,jedrek,male
JEFERSON,jeferson,male
JEFFERSON,jefferson,male
JEFFREY,jeffrey,male
JEHIEL,jehiel,male
JEINSON,jeinson,male
JEISSON,jeisson,male
JELANI,jelani,male
JEMACHANDRA,jemachandra,male
JENARO,jenaro,male
JENSEN,jensen,male
JEREMIAH,jeremiah,male
JEREMIAS,jeremias,male
JEREMY,jeremy,male
JEREMIAS,jeremías,male
JERIAH,jeriah,male
JEROLIN,jerolin,male
JERONE,jerone,male
JERONIMO,jeronimo,male
JERRY,jerry,male
JERONIMO,jerónimo,male
JESSID,jessid,male
JESUS,jesus,male
JESUS,jesús,male
JETHRO,jethro,male
JEUEL,jeuel,male
JEYSON,jeyson,male
JHADED,jhaded,male
JHAKIM,jhakim,male
JHOAN,jhoan,male
JHON,jhon,male
JHONATAN,jhonatan,male
JHONNY,jhonny,male
JHONY,jhony,male
JIBRIL,jibril,male
JIM,jim,male
JIMMY,jimmy,male
JIMOH,jimoh,male
JIRANIA KASHIPU,jirania kashipú,male
JIRŌ,jirō,male
JIVIN,jivin,male
JOAB,joab,male
JOACHIM,joachim,male
JOACIN,joacin,male
JOAKO,joako,male
JOAN,joan,male
JOANICIO,joanicio,male
JOAO,joao,male
JOAQUIN,joaquin,male
JOAQUIN,joaquín,male
JOAV,joav,male
JOB,job,male
JOBEY,jobey,male
JOE,joe,male
JOEL,joel,male
JOEY,joey,male
JOHAN,johan,male
JOHANN,johann,male
JOHN,john,male
JOHNNATAN,johnnatan,male
JOHNNATTAN,johnnattan,male
JOHNNY,johnny,male
JON,jon,male
JONAH,jonah,male
JONAS,jonas,male
JONATAN,jonatan,male
JONATHAN,jonathan,male
JOPHIEL,jophiel,male
JORDAN,jordan,male
JORDI,jordi,male
JORELL,jorell,male
JORGE,jorge,male
JORGEN,jorgen,male
JORWERTH,jorwerth,male
JOSAFAT,josafat,male
JOSCIO,joscio,male
JOSE,jose,male
JOSEF,josef,male
JOSEFINO,josefino,male
JOSEMARIA,josemaria,male
JOSEMIR,josemir,male
JOSEMIS,josemis,male
JOSEPH,joseph,male
JOSH,josh,male
JOSHUA,joshua,male
JOSIAH,josiah,male
JOSIAS,josias,male
JOSU,josu,male
JOSUA,josua,male
JOSUE,josue,male
JOSUE,josué,male
JOSE,josé,male
JOSIAS,josías,male
JOSU,josú,male
JOTHAM,jotham,male
JOVANY,jovany,male
JOVIANO,joviano,male
JOVINO,jovino,male
JOZEPH,jozeph,male
JREREMIAH,jreremiah,male
JUAKIN,juakin,male
JUAN,juan,male
JUAN DE DIOS,juan de dios,male
JUANELO,juanelo,male
JUANITO,juanito,male
JUANSE,juanse,male
JUCUNDO,jucundo,male
JUDAS,judas,male
JUDD,judd,male
JUDE,jude,male
JUDA,judá,male
JULEN,julen,male
JULES,jules,male
JULIAN,julian,male
JULIANO,juliano,male
JULIEN,julien,male
JULIO,julio,male
JULIAN,julián,male
JUNIOR,junior,male
JUNO,juno,male
JURE,jure,male
JURGEN,jurgen,male
JURRIEN,jurrien,male
JUSTIN,justin,male
JUSTINIANO,justiniano,male
JUSTINO,justino,male
JUSTO,justo,male
JUVENAL,juvenal,male
JUVENCIO,juvencio,male
JUVENEO,juveneo,male
JUVENTINO,juventino,male
JUYOUNG,juyoung,male
KADAR,kadar,male
KADEEM,kadeem,male
KADIM,kadim,male
KADIR,kadir,male
KADO,kado,male
KAEL,kael,male
KAI,kai,male
KAIKARA,kaikara,male
KAILASH,kailash,male
KAISER,kaiser,male
KALANI,kalani,male
KALB,kalb,male
KALE,kale,male
KALED,kaled,male
KALIDASA,kalidasa,male
KALIL,kalil,male
KALKIN,kalkin,male
KALMAN,kalman,male
KAMAL,kamal,male
KANE,kane,male
KANIEL,kaniel,male
KANKURŌ,kankurō,male
KAPILA,kapila,male
KAPONO,kapono,male
KAPRIEL,kapriel,male
KARAN,karan,male
KARDAMA,kardama,male
KAREEM,kareem,male
KARIEL,kariel,male
KARIF,karif,male
KARIM,karim,male
KARL,karl,male
KARSTEN,karsten,male
KARTTIKEYA,karttikeya,male
KASEN,kasen,male
KASIB,kasib,male
KASIM,kasim,male
KASPAR,kaspar,male
KASS,kass,male
KATEB,kateb,male
KAVI,kavi,male
KAZUO,kazuo,male
KEAHI,keahi,male
KEANE,keane,male
KEARNEY,kearney,male
KEATON,keaton,male
KEB,keb,male
KEDAR,kedar,male
KEDARA,kedara,male
KEDARNATH,kedarnath,male
KEEFE,keefe,male
KEENAN,keenan,male
KEENE,keene,male
KEGAN,kegan,male
KEIJI,keiji,male
KEILOR,keilor,male
KEIR,keir,male
KEITH,keith,male
KEKIPI,kekipi,male
KELI,keli,male
KELLAN,kellan,male
KELLEN,kellen,male
KELMAN,kelman,male
KELSEY,kelsey,male
KELVIN,kelvin,male
KELVYN,kelvyn,male
KEMAL,kemal,male
KEMPTON,kempton,male
KEMUEL,kemuel,male
KEN,ken,male
KENAI,kenai,male
KENAZ,kenaz,male
KENDO,kendo,male
KENDRICK,kendrick,male
KENDRY,kendry,male
KENELM,kenelm,male
KENETH,keneth,male
KENJI,kenji,male
KENLEY,kenley,male
KENN,kenn,male
KENNARD,kennard,male
KENNETH,kenneth,male
KENNI,kenni,male
KENNY,kenny,male
KENSEL,kensel,male
KENT,kent,male
KENTARO,kentaro,male
KENTIGERNO,kentigerno,male
KENTON,kenton,male
KENYI,kenyi,male
KENYON,kenyon,male
KENZO,kenzo,male
KENZŌ,kenzō,male
KERBASI,kerbasi,male
KERMIT,kermit,male
KERN,kern,male
KERR,kerr,male
KERRICK,kerrick,male
KERS,kers,male
KESTER,kester,male
KEVIN,kevin,male
KEWANTUAFIEL,kewantuafiel,male
KHALED,khaled,male
KHALEM,khalem,male
KHALIL,khalil,male
KHAN,khan,male
KHEO,kheo,male
KHOURY,khoury,male
KIANO,kiano,male
KIEFER,kiefer,male
KIERAN,kieran,male
KIERNAN,kiernan,male
KILIANO,kiliano,male
KILLAN,killan,male
KIM,kim,male
KIMBALL,kimball,male
KIN,kin,male
KINCAID,kincaid,male
KINNARA,kinnara,male
KINTARŌ,kintarō,male
KINTIGERNO,kintigerno,male
KINTON,kinton,male
KINTUILLANG,kintuillang,male
KIOSHI,kioshi,male
KIPLING,kipling,male
KIPP,kipp,male
KIRBY,kirby,male
KIRIANO,kiriano,male
KIRIL,kiril,male
KIRK,kirk,male
KIRKWOOD,kirkwood,male
KIROS,kiros,male
KIYOSHI,kiyoshi,male
KLAUS,klaus,male
KLEEF,kleef,male
KNOX,knox,male
KOCHI,kochi,male
KOEN,koen,male
KOICHI,koichi,male
KOJIRŌ,kojirō,male
KONG,kong,male
KORB,korb,male
KORT,kort,male
KOSEY,kosey,male
KRISCHAN,krischan,male
KRISH,krish,male
KRISTER,krister,male
KRISTIN,kristin,male
KSATRI,ksatri,male
KUMBHA KARNA,kumbhá karna,male
KURU,kuru,male
KUSHIKA,kushika,male
KYLE,kyle,male
KYLER,kyler,male
KYNE,kyne,male
KYROS,kyros,male
KURAF,küraf,male
LABAN,labán,male
LADD,ladd,male
LADIO,ladio,male
LADISLAO,ladislao,male
LAERCIO,laercio,male
LAERTES,laertes,male
LAFKEN,lafken,male
LAIN,lain,male
LAIR,lair,male
LAIRD,laird,male
LAL,lal,male
LALO,lalo,male
LAMAR,lamar,male
LAMBERT,lambert,male
LAMBERTO,lamberto,male
LAMOND,lamond,male
LAMONT,lamont,male
LANCE,lance,male
LANCELOT,lancelot,male
LANDELINO,landelino,male
LANDER,lander,male
LANDERS,landers,male
LANDIS,landis,male
LANDOALDO,landoaldo,male
LANDOLFO,landolfo,male
LANDON,landon,male
LANDRY,landry,male
LANFRANCO,lanfranco,male
LANG,lang,male
LANGDON,langdon,male
LANGLEY,langley,male
LANGSTON,langston,male
LANGUNDO,langundo,male
LANZ,lanz,male
LAP,lap,male
LARAMIE,laramie,male
LARON,laron,male
LARRIMORE,larrimore,male
LARRY,larry,male
LARS,lars,male
LASZLO,laszlo,male
LATIF,latif,male
LATIMER,latimer,male
LATINO,latino,male
LAUGHLIN,laughlin,male
LAUMER,laumer,male
LAUREANO,laureano,male
LAURENCE,laurence,male
LAURENCIO,laurencio,male
LAURENTINO,laurentino,male
LAURINDO,laurindo,male
LAURO,lauro,male
LAUTARO,lautaro,male
LAVALLE,lavalle,male
LAWAL,lawal,male
LAWLER,lawler,male
LAWRENCE,lawrence,male
LAZARO,lazaro,male
LAZARUS,lazarus,male
LEANDER,leander,male
LEANDRO,leandro,male
LEAR,lear,male
LEARCO,learco,male
LEBIAN,lebian,male
LEE,lee,male
LEGGETT,leggett,male
LEI,lei,male
LEIF,leif,male
LELAND,leland,male
LELIO,lelio,male
LEMMY,lemmy,male
LEMUEL,lemuel,male
LEMUN,lemun,male
LEN,len,male
LENCHO,lencho,male
LENEO,leneo,male
LENNON,lennon,male
LENNOR,lennor,male
LENNOX,lennox,male
LENNY,lenny,male
LENSAR,lensar,male
LEO,leo,male
LEOBINO,leobino,male
LEODOWALDO,leodowaldo,male
LEOFRIDO,leofrido,male
LEON,leon,male
LEONARD,leonard,male
LEONARDO,leonardo,male
LEONCIO,leoncio,male
LEONEL,leonel,male
LEONELO,leonelo,male
LEONIDAS,leonidas,male
LEONIDES,leonides,male
LEOPARDO,leopardo,male
LEOPOLD,leopold,male
LEOPOLDO,leopoldo,male
LEOR,leor,male
LEOVIGILDO,leovigildo,male
LEOVINO,leovino,male
LERON,leron,male
LEROY,leroy,male
LESTER,lester,male
LETANCIO,letancio,male
LETO,leto,male
LEUCIO,leucio,male
LEUCO,leuco,male
LEUDOMIRO,leudomiro,male
LEVI,levi,male
LEVON,levon,male
LEVI,leví,male
LEWIN,lewin,male
LEWIS,lewis,male
LIAFDAG,liafdag,male
LIAM,liam,male
LIAN,lian,male
LIANG,liang,male
LIBARDO,libardo,male
LIBER,liber,male
LIBERATO,liberato,male
LIBERIO,liberio,male
LIBERTO,liberto,male
LIBIO,libio,male
LIBORIO,liborio,male
LICAS,licas,male
LICERIO,licerio,male
LICINIO,licinio,male
LICIO,licio,male
LICURGO,licurgo,male
LIE,lie,male
LIFARDO,lifardo,male
LIGORIO,ligorio,male
LIKO,liko,male
LIMBERD,limberd,male
LINC,linc,male
LINCOLN,lincoln,male
LINDBERG,lindberg,male
LINFRED,linfred,male
LINIEL,liniel,male
LINNEO,linneo,male
LINO,lino,male
LINU,linu,male
LINUS,linus,male
LION,lion,male
LIONEL,lionel,male
LIOR,lior,male
LIRON,liron,male
LISANDRO,lisandro,male
LISARDO,lisardo,male
LISLE,lisle,male
LISTER,lister,male
LIU,liu,male
LIVINGSTON,livingston,male
LIVINO,livino,male
LIVIO,livio,male
LIVVY,livvy,male
LIZANDRO,lizandro,male
LJUBO,ljubo,male
LLEWELLYN,llewellyn,male
LLEYTON,lleyton,male
LLOYD,lloyd,male
LOCKHART,lockhart,male
LOIC,loic,male
LOK,lok,male
LOKAPALA,lokapala,male
LONDON,london,male
LONG,long,male
LONGINOS,longinos,male
LONO,lono,male
LORD,lord,male
LORENZO,lorenzo,male
LORIS,loris,male
LORNE,lorne,male
LOT,lot,male
LOTARIO,lotario,male
LOU,lou,male
LOUIS,louis,male
LOWELL,lowell,male
LOIC,loïc,male
LUAN,luan,male
LUANO,luano,male
LUBOMIR,lubomir,male
LUCA,luca,male
LUCAN,lucan,male
LUCANO,lucano,male
LUCAS,lucas,male
LUCCA,lucca,male
LUCCIANO,lucciano,male
LUCE,luce,male
LUCHINO,luchino,male
LUCHIO,luchio,male
LUCHO,lucho,male
LUCIAN,lucian,male
LUCIANO,luciano,male
LUCIO,lucio,male
LUCIUS,lucius,male
LUCKY,lucky,male
LUDOVICO,ludovico,male
LUDWIG,ludwig,male
LUDWING,ludwing,male
LUFTER,lufter,male
LUICIANO,luiciano,male
LUIGI,luigi,male
LUIGINO,luigino,male
LUIS,luis,male
LUISIANO,luisiano,male
LUKA,luka,male
LUKAS,lukas,male
LUKE,luke,male
LUKENE,lukene,male
LUNT,lunt,male
LUPERCIO,lupercio,male
LUPERO,lupero,male
LUPICINO,lupicino,male
LUPO,lupo,male
LURENTINO,lurentino,male
LUSORIO,lusorio,male
LUTARDO,lutardo,male
LUTERO,lutero,male
LUTFI,lutfi,male
LUVENCIO,luvencio,male
LYLE,lyle,male
LYMAN,lyman,male
LYNCH,lynch,male
LYNDON,lyndon,male
LYSANDER,lysander,male
LAZARO,lázaro,male
MAARTEN,maarten,male
MAC,mac,male
MACABEO,macabeo,male
MACABEOS,macabeos,male
MACADAM,macadam,male
MACALLISTER,macallister,male
MACARIO,macario,male
MACAULAY,macaulay,male
MACE,mace,male
MACEDONIO,macedonio,male
MACIEL,maciel,male
MACLEAN,maclean,male
MACLOVIO,maclovio,male
MACRINO,macrino,male
MACROBIO,macrobio,male
MADDOCK,maddock,male
MADDOX,maddox,male
MADHUSUDAN,madhusudan,male
MADOG,madog,male
MADOX,madox,male
MAEL,mael,male
MAFFEO,maffeo,male
MAGIN,magin,male
MAGINO,magino,male
MAGLORIO,maglorio,male
MAGNERICO,magnerico,male
MAGNO,magno,male
MAGNUS,magnus,male
MAHESA,mahesa,male
MAHIR,mahir,male
MAHMOUD,mahmoud,male
MAHOMA,mahoma,male
MAHON,mahon,male
MAIA ASURA,maia asura,male
MAIAN,maian,male
MAICO,maico,male
MAICOL,maicol,male
MAIK,maik,male
MAILO,mailo,male
MAJENCIO,majencio,male
MAJA,majá,male
MAKIN,makin,male
MAKOTO,makoto,male
MALAQUIAS,malaquias,male
MALCO,malco,male
MALCOLM,malcolm,male
MALIK,malik,male
MALONE,malone,male
MALTE,malte,male
MAMAN,maman,male
MAMERTINO,mamertino,male
MAMERTO,mamerto,male
MAMES,mames,male
MAMILA,mamila,male
MAMILIANO,mamiliano,male
MANAHEM,manahem,male
MANASES,manases,male
MANCIO,mancio,male
MANDALO,mandalo,male
MANDEK,mandek,male
MANDER,mander,male
MANEA,manea,male
MANETO,maneto,male
MANFAMON,manfamon,male
MANKILEF,mankilef,male
MANLIO,manlio,male
MANNING,manning,male
MANNY,manny,male
MANOLIS,manolis,male
MANRIQUE,manrique,male
MANSUETO,mansueto,male
MANU,manu,male
MANUEL,manuel,male
MAPALICO,mapalico,male
MAPRIL,mapril,male
MARC,marc,male
MARCEL,marcel,male
MARCELIANO,marceliano,male
MARCELINO,marcelino,male
MARCELO,marcelo,male
MARCIAL,marcial,male
MARCIANO,marciano,male
MARCIO,marcio,male
MARCO,marco,male
MARCOS,marcos,male
MARCUS,marcus,male
MARDARIO,mardario,male
MARDEN,marden,male
MARDONIO,mardonio,male
MARDOQUEO,mardoqueo,male
MAREK,marek,male
MARIANO,mariano,male
MARIN,marin,male
MARINO,marino,male
MARIO,mario,male
MARK,mark,male
MARKHAM,markham,male
MARKIAN,markian,male
MARKO,marko,male
MARLAND,marland,male
MARLIN,marlin,male
MARLON,marlon,male
MARLOW,marlow,male
MARO,maro,male
MAROLO,marolo,male
MARON,maron,male
MAROTAS,marotas,male
MARSELIO,marselio,male
MARSHALL,marshall,male
MARTIN,martin,male
MARTINIANO,martiniano,male
MARTINO,martino,male
MARTIR,martir,male
MARTINO,martiño,male
MARTY,marty,male
MARTIN,martín,male
MARUTAS,marutas,male
MARV,marv,male
MARVIN,marvin,male
MARZIABO,marziabo,male
MASAHIRO,masahiro,male
MASALVIO,masalvio,male
MASCULAS,masculas,male
MASON,mason,male
MASONA,masona,male
MASSIMILIANO,massimiliano,male
MASSINO,massino,male
MASUD,masud,male
MATEI,matei,male
MATEO,mateo,male
MATERNO,materno,male
MATHEO,matheo,male
MATHER,mather,male
MATHEUS,matheus,male
MATHIAS,mathias,male
MATHIEU,mathieu,male
MATHIUS,mathius,male
MATI,mati,male
MATKO,matko,male
MATO,mato,male
MATRONIANO,matroniano,male
MATT,matt,male
MATTEO,matteo,male
MATTHEW,matthew,male
MATTHIAS,matthias,male
MATTIN,mattin,male
MATURINO,maturino,male
MATURO,maturo,male
MATUSALEN,matusalen,male
MATIAS,matías,male
MAURELO,maurelo,male
MAURICE,maurice,male
MAURICIO,mauricio,male
MAURILIO,maurilio,male
MAURILO,maurilo,male
MAURINO,maurino,male
MAURIZIO,maurizio,male
MAURO,mauro,male
MAVERICK,maverick,male
MAVILO,mavilo,male
MAX,max,male
MAXI,maxi,male
MAXIM,maxim,male
MAXIME,maxime,male
MAXIMIANO,maximiano,male
MAXIMILIAN,maximilian,male
MAXIMILIANO,maximiliano,male
MAXIMINO,maximino,male
MAXIMO,maximo,male
MAXWELL,maxwell,male
MAYCOL,maycol,male
MAYNARD,maynard,male
MAYOLO,mayolo,male
MAYORICO,mayorico,male
MAYRON,mayron,male
MANKE,mañke,male
MECENAS,mecenas,male
MEDARDO,medardo,male
MEDERICO,mederico,male
MEGINARDO,meginardo,male
MEINRADO,meinrado,male
MEIR,meir,male
MELANIO,melanio,male
MELAS,melas,male
MELASIPO,melasipo,male
MELCHOR,melchor,male
MELEAGRO,meleagro,male
MELECIO,melecio,male
MELEUSIPO,meleusipo,male
MELITON,meliton,male
MELJEM,meljem,male
MELQUIADES,melquiades,male
MELQUISEDEC,melquisedec,male
MELVIN,melvin,male
MELVYN,melvyn,male
MEMNON,memnon,male
MEMO,memo,male
MENAJEM,menajem,male
MENALIPO,menalipo,male
MENANDRO,menandro,male
MENAS,menas,male
MENDEL,mendel,male
MENDO VALLE,mendo valle,male
MENEDEUCO,menedeuco,male
MENELAO,menelao,male
MENEO,meneo,male
MENGOLDO,mengoldo,male
MENIGNO,menigno,male
MENIO,menio,male
MENJAMIN,menjamin,male
MENNAS,mennas,male
MENNOS,mennos,male
MENODORO,menodoro,male
MENQUI,menqui,male
MERARI,merari,male
MERCER,mercer,male
MERCHD,merchd,male
MERCURIAL,mercurial,male
MERCURIO,mercurio,male
MERILL,merill,male
MERLIN,merlin,male
MEROLINO,merolino,male
MERRICK,merrick,male
MERULO,merulo,male
MERV,merv,male
MERVIN,mervin,male
MESHA,mesha,male
MESMINO,mesmino,male
METELO,metelo,male
METODIO,metodio,male
METRAN,metran,male
METROFANES,metrofanes,male
METROPIO,metropio,male
MEURIS,meuris,male
MEYER,meyer,male
MICAEL,micael,male
MICHAEL,michael,male
MICHAY,michay,male
MICHEL,michel,male
MICHELE,michele,male
MICK,mick,male
MICKEY,mickey,male
MIGDONIO,migdonio,male
MIGUEL,miguel,male
MIJAEL,mijael,male
MIJAIL,mijail,male
MIKAEL,mikael,male
MIKEL,mikel,male
MIKHAIL,mikhail,male
MILAN,milan,male
MILES,miles,male
MILFORTE,milforte,male
MILICIADES,miliciades,male
MILKO,milko,male
MILLAN,millan,male
MILLER,miller,male
MILO,milo,male
MILOS,milos,male
MILOVAN,milovan,male
MILTON,milton,male
MINATO,minato,male
MINERVIANO,minerviano,male
MINERVO,minervo,male
MINOTAURO,minotauro,male
MIQUEAS,miqueas,male
MIQUEO,miqueo,male
MIRKO,mirko,male
MIROCLES,mirocles,male
MIRON,miron,male
MIROSLAV,miroslav,male
MISAEL,misael,male
MISHAEL,mishael,male
MISOPIO,misopio,male
MITCH,mitch,male
MITCHEL,mitchel,male
MITCHELL,mitchell,male
MITRICIO,mitricio,male
MITRIDATES,mitridates,male
MODESTO,modesto,male
MODOALDO,modoaldo,male
MOHAMED,mohamed,male
MOHAMMED,mohammed,male
MOISES,moises,male
MOKE,moke,male
MOMMOLO,mommolo,male
MONAS,monas,male
MONEGUINDIS,moneguindis,male
MONETA,moneta,male
MONITOR,monitor,male
MONON,monon,male
MONROE,monroe,male
MONTANO,montano,male
MONTGOMERY,montgomery,male
MONTY,monty,male
MORATHI,morathi,male
MORDECAI,mordecai,male
MORDECHAI,mordechai,male
MORDEJAY,mordejay,male
MORENO,moreno,male
MOREY,morey,male
MORFEO,morfeo,male
MORITZ,moritz,male
MORO,moro,male
MORORITO,mororito,male
MORRIS,morris,male
MORRISON,morrison,male
MORT,mort,male
MORTIMER,mortimer,male
MORTON,morton,male
MORVEN,morven,male
MOSES,moses,male
MOSHE,moshe,male
MOSWEN,moswen,male
MSTISLAV,mstislav,male
MUCIO,mucio,male
MUHAMMAD,muhammad,male
MUMMOLINO,mummolino,male
MUMOLO,mumolo,male
MUNIR,munir,male
MURDOCH,murdoch,male
MUREDAC,muredac,male
MURRAY,murray,male
MUSAKA,musaka,male
MUSONO,musono,male
MUSSA,mussa,male
MUSTAFA,mustafa,male
MUSTAFA,mustafá,male
MUSTIOLA,mustiola,male
MUTI,muti,male
MYCHAL,mychal,male
MYLES,myles,male
MYRON,myron,male
MAZATL,mázatl,male
NABIL,nabil,male
NABOR,nabor,male
NABUCODONOSOR,nabucodonosor,male
NACHO,nacho,male
NACIANCENO,nacianceno,male
NADAV,nadav,male
NADIR,nadir,male
NADOR,nador,male
NAEEM,naeem,male
NAHELE,nahele,male
NAHIEL,nahiel,male
NAHUEL,nahuel,male
NAHUM,nahum,male
NAIM,naim,male
NAJI,naji,male
NAJUL,najul,male
NALA,nala,male
NAMER,namer,male
NAMIAN,namian,male
NANDI,nandi,male
NANDOR,nandor,male
NANTAN,nantan,male
NAOKO,naoko,male
NAPIER,napier,male
NAPOLEON,napoleon,male
NARAKASURA,narakasura,male
NARCES,narces,male
